name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
Euro area,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
United Kingdom,2016-01-01,GBP,2.89,0.684532977,4.22185650232012,-0.14364,0.05573,0.0,0.35379,0.57317,45729.267,3.94941113930466,-0.075,0.0,0.0,0.235,0.018
Hong Kong,2016-01-01,HKD,19.2,7.75235,2.4766683650764,-0.49763,-0.38068,-0.41337,-0.20583,-0.07713,40032.534,3.74136748259242,-0.427,-0.381,-0.381,-0.235,-0.37
Hungary,2016-01-01,HUF,900.0,292.67905,3.07504073147702,-0.37626,-0.23105,-0.27164,-0.01395,0.14584,13869.538,2.78589961032461,-0.045,0.032,0.033,0.275,0.051
Indonesia,2016-01-01,IDR,30500.0,13947.5,2.18677182290733,-0.55644,-0.45317,-0.48204,-0.29879,-0.18515,3524.075,2.40808517652523,-0.214,-0.151,-0.151,0.049,-0.135
India,2016-01-01,INR,127.0,66.8025,1.90112645484825,-0.61438,-0.5246,-0.54969,-0.39038,-0.29159,1607.646,2.33809753676936,-0.297,-0.24,-0.239,-0.061,-0.226
Israel,2016-01-01,ILS,16.9,3.94105,4.28819730782406,-0.13018,0.07232,0.01571,0.37506,0.59789,37222.384,3.63874131389013,0.02,0.102,0.102,0.361,0.122
Japan,2016-01-01,JPY,370.0,118.645,3.11854692570273,-0.36743,-0.22017,-0.26133,0.0,0.16205,36221.812,3.60220060578886,-0.251,-0.19,-0.19,0.0,-0.175
South Korea,2016-01-01,KRW,4300.0,1197.75,3.59006470465456,-0.27179,-0.10226,-0.14965,0.1512,0.33775,27970.494,3.30086396785698,-0.059,0.017,0.017,0.256,0.036
Sri Lanka,2016-01-01,LKR,350.0,144.05,2.42971190558834,-0.50716,-0.39242,-0.42449,-0.22088,-0.09463,,,,,,,
Mexico,2016-01-01,MXN,49.0,17.43675,2.81015670924914,-0.42999,-0.29729,-0.33438,-0.09889,0.04713,10784.464,2.67323326696819,-0.091,-0.017,-0.017,0.214,0.001
Malaysia,2016-01-01,MYR,8.0,4.3925,1.82128628343768,-0.63057,-0.54456,-0.56861,-0.41598,-0.32134,11049.28,2.68290429929424,-0.413,-0.365,-0.365,-0.216,-0.353
Norway,2016-01-01,NOK,46.8,8.97465,5.21468803797363,0.05775,0.304,0.23516,0.67215,0.94312,96930.485,5.81927034120877,-0.225,-0.162,-0.162,0.035,-0.147
New Zealand,2016-01-01,NZD,5.9,1.508068165,3.91228999917255,-0.20643,-0.02168,-0.07332,0.25452,0.45782,43363.232,3.86300396991316,-0.124,-0.053,-0.053,0.17,-0.035
Pakistan,2016-01-01,PKR,300.0,104.885,2.86027553987701,-0.41982,-0.28475,-0.32251,-0.08282,0.06581,1325.79,2.32780420673155,0.063,0.149,0.149,0.419,0.17
Peru,2016-01-01,PEN,10.0,3.418,2.92568753657109,-0.40655,-0.2684,-0.30701,-0.06184,0.09018,6448.534,2.51488588919073,0.006,0.088,0.088,0.344,0.108
Philippines,2016-01-01,PHP,131.0,47.0225,2.78590036684566,-0.43491,-0.30335,-0.34012,-0.10667,0.0381,2862.38,2.38392019504757,0.011,0.093,0.093,0.35,0.113
Poland,2016-01-01,PLN,9.6,4.0477,2.37171727153692,-0.51892,-0.40692,-0.43823,-0.23948,-0.11624,14411.495,2.805691781743,-0.269,-0.209,-0.209,-0.024,-0.195
Russia,2016-01-01,RUB,114.0,74.655,1.52702431183444,-0.69026,-0.61815,-0.63831,-0.51034,-0.43099,12717.687,2.7438342205604,-0.519,-0.479,-0.479,-0.357,-0.47
Saudi Arabia,2016-01-01,SAR,12.0,3.7543,3.19633486934981,-0.35166,-0.20072,-0.24291,0.02494,0.19103,24252.173,3.16507155882712,-0.126,-0.055,-0.055,0.166,-0.038
Sweden,2016-01-01,SEK,45.0,8.60185,5.23143277318251,0.06114,0.30819,0.23913,0.67752,0.94936,58538.061,4.4171859747821,0.025,0.108,0.108,0.368,0.128
Thailand,2016-01-01,THB,112.0,36.22,3.09221424627278,-0.37278,-0.22675,-0.26757,-0.00844,0.15224,5896.361,2.49472063130383,0.072,0.159,0.16,0.432,0.18
